map_id,from_node_id,to_node_id,design_purpose,enabled,notes
abyss_wilds,abyss_start,abyss_L1_battle_1,Connection,true,
abyss_wilds,abyss_start,abyss_L1_resource_1,Connection,true,
abyss_wilds,abyss_L1_battle_1,abyss_L2_battle_1,Connection,true,
abyss_wilds,abyss_L1_battle_1,abyss_L2_treasure_1,Connection,true,
abyss_wilds,abyss_L1_resource_1,abyss_L2_battle_1,Connection,true,
abyss_wilds,abyss_L1_resource_1,abyss_L2_treasure_1,Connection,true,
abyss_wilds,abyss_L2_battle_1,abyss_L3_battle_1,Connection,true,
abyss_wilds,abyss_L2_battle_1,abyss_L3_battle_2,Connection,true,
abyss_wilds,abyss_L2_battle_1,abyss_L3_resource_1,Connection,true,
abyss_wilds,abyss_L2_treasure_1,abyss_L3_battle_1,Connection,true,
abyss_wilds,abyss_L2_treasure_1,abyss_L3_battle_2,Connection,true,
abyss_wilds,abyss_L2_treasure_1,abyss_L3_resource_1,Connection,true,
abyss_wilds,abyss_L3_battle_1,abyss_L4_battle_1,Connection,true,
abyss_wilds,abyss_L3_battle_1,abyss_L4_resource_1,Connection,true,
abyss_wilds,abyss_L3_battle_1,abyss_L4_treasure_1,Connection,true,
abyss_wilds,abyss_L3_battle_2,abyss_L4_battle_1,Connection,true,
abyss_wilds,abyss_L3_battle_2,abyss_L4_resource_1,Connection,true,
abyss_wilds,abyss_L3_battle_2,abyss_L4_treasure_1,Connection,true,
abyss_wilds,abyss_L3_resource_1,abyss_L4_battle_1,Connection,true,
abyss_wilds,abyss_L4_battle_1,abyss_L5_battle_1,Connection,true,
abyss_wilds,abyss_L4_battle_1,abyss_L5_battle_2,Connection,true,
abyss_wilds,abyss_L4_battle_1,abyss_L5_resource_1,Connection,true,
abyss_wilds,abyss_L4_battle_1,abyss_L5_treasure_1,Connection,true,
abyss_wilds,abyss_L4_resource_1,abyss_L5_battle_1,Connection,true,
abyss_wilds,abyss_L4_resource_1,abyss_L5_battle_2,Connection,true,
abyss_wilds,abyss_L4_treasure_1,abyss_L5_battle_1,Connection,true,
abyss_wilds,abyss_L4_treasure_1,abyss_L5_battle_2,Connection,true,
abyss_wilds,abyss_L5_battle_1,abyss_L6_battle_1,Connection,true,
abyss_wilds,abyss_L5_battle_1,abyss_L6_battle_2,Connection,true,
abyss_wilds,abyss_L5_battle_1,abyss_L6_resource_1,Connection,true,
abyss_wilds,abyss_L5_battle_1,abyss_L6_treasure_1,Connection,true,
abyss_wilds,abyss_L5_battle_2,abyss_L6_battle_1,Connection,true,
abyss_wilds,abyss_L5_battle_2,abyss_L6_battle_2,Connection,true,
abyss_wilds,abyss_L5_battle_2,abyss_L6_resource_1,Connection,true,
abyss_wilds,abyss_L5_battle_2,abyss_L6_treasure_1,Connection,true,
abyss_wilds,abyss_L5_resource_1,abyss_L6_battle_1,Connection,true,
abyss_wilds,abyss_L5_resource_1,abyss_L6_battle_2,Connection,true,
abyss_wilds,abyss_L5_resource_1,abyss_L6_resource_1,Connection,true,
abyss_wilds,abyss_L5_resource_1,abyss_L6_treasure_1,Connection,true,
abyss_wilds,abyss_L5_treasure_1,abyss_L6_battle_1,Connection,true,
abyss_wilds,abyss_L5_treasure_1,abyss_L6_battle_2,Connection,true,
abyss_wilds,abyss_L5_treasure_1,abyss_L6_resource_1,Connection,true,
abyss_wilds,abyss_L5_treasure_1,abyss_L6_treasure_1,Connection,true,
abyss_wilds,abyss_L6_battle_1,abyss_L7_battle_1,Connection,true,
abyss_wilds,abyss_L6_battle_1,abyss_L7_battle_2,Connection,true,
abyss_wilds,abyss_L6_battle_1,abyss_L7_resource_1,Connection,true,
abyss_wilds,abyss_L6_battle_1,abyss_L7_resource_2,Connection,true,
abyss_wilds,abyss_L6_battle_1,abyss_L7_treasure_1,Connection,true,
abyss_wilds,abyss_L6_battle_2,abyss_L7_battle_1,Connection,true,
abyss_wilds,abyss_L6_battle_2,abyss_L7_battle_2,Connection,true,
abyss_wilds,abyss_L6_battle_2,abyss_L7_resource_1,Connection,true,
abyss_wilds,abyss_L6_battle_2,abyss_L7_resource_2,Connection,true,
abyss_wilds,abyss_L6_battle_2,abyss_L7_treasure_1,Connection,true,
abyss_wilds,abyss_L6_resource_1,abyss_L7_battle_1,Connection,true,
abyss_wilds,abyss_L6_resource_1,abyss_L7_battle_2,Connection,true,
abyss_wilds,abyss_L6_resource_1,abyss_L7_resource_1,Connection,true,
abyss_wilds,abyss_L6_resource_1,abyss_L7_resource_2,Connection,true,
abyss_wilds,abyss_L6_resource_1,abyss_L7_treasure_1,Connection,true,
abyss_wilds,abyss_L6_treasure_1,abyss_L7_battle_1,Connection,true,
abyss_wilds,abyss_L6_treasure_1,abyss_L7_battle_2,Connection,true,
abyss_wilds,abyss_L6_treasure_1,abyss_L7_resource_1,Connection,true,
abyss_wilds,abyss_L6_treasure_1,abyss_L7_resource_2,Connection,true,
abyss_wilds,abyss_L6_treasure_1,abyss_L7_treasure_1,Connection,true,
abyss_wilds,abyss_L7_battle_1,abyss_L8_battle_1,Connection,true,
abyss_wilds,abyss_L7_battle_1,abyss_L8_battle_2,Connection,true,
abyss_wilds,abyss_L7_battle_1,abyss_L8_resource_1,Connection,true,
abyss_wilds,abyss_L7_battle_1,abyss_L8_resource_2,Connection,true,
abyss_wilds,abyss_L7_battle_1,abyss_L8_treasure_1,Connection,true,
abyss_wilds,abyss_L7_battle_2,abyss_L8_battle_1,Connection,true,
abyss_wilds,abyss_L7_battle_2,abyss_L8_battle_2,Connection,true,
abyss_wilds,abyss_L7_battle_2,abyss_L8_resource_1,Connection,true,
abyss_wilds,abyss_L7_battle_2,abyss_L8_resource_2,Connection,true,
abyss_wilds,abyss_L7_battle_2,abyss_L8_treasure_1,Connection,true,
abyss_wilds,abyss_L7_resource_1,abyss_L8_battle_1,Connection,true,
abyss_wilds,abyss_L7_resource_1,abyss_L8_battle_2,Connection,true,
abyss_wilds,abyss_L7_resource_2,abyss_L8_battle_1,Connection,true,
abyss_wilds,abyss_L7_resource_2,abyss_L8_battle_2,Connection,true,
abyss_wilds,abyss_L7_treasure_1,abyss_L8_battle_1,Connection,true,
abyss_wilds,abyss_L7_treasure_1,abyss_L8_battle_2,Connection,true,
abyss_wilds,abyss_L8_battle_1,abyss_L9_battle_1,Connection,true,
abyss_wilds,abyss_L8_battle_1,abyss_L9_battle_2,Connection,true,
abyss_wilds,abyss_L8_battle_1,abyss_L9_resource_1,Connection,true,
abyss_wilds,abyss_L8_battle_1,abyss_L9_treasure_1,Connection,true,
abyss_wilds,abyss_L8_battle_2,abyss_L9_battle_1,Connection,true,
abyss_wilds,abyss_L8_battle_2,abyss_L9_battle_2,Connection,true,
abyss_wilds,abyss_L8_battle_2,abyss_L9_resource_1,Connection,true,
abyss_wilds,abyss_L8_battle_2,abyss_L9_treasure_1,Connection,true,
abyss_wilds,abyss_L8_resource_1,abyss_L9_battle_1,Connection,true,
abyss_wilds,abyss_L8_resource_1,abyss_L9_battle_2,Connection,true,
abyss_wilds,abyss_L8_resource_2,abyss_L9_battle_1,Connection,true,
abyss_wilds,abyss_L8_resource_2,abyss_L9_battle_2,Connection,true,
abyss_wilds,abyss_L8_treasure_1,abyss_L9_battle_1,Connection,true,
abyss_wilds,abyss_L8_treasure_1,abyss_L9_battle_2,Connection,true,
abyss_wilds,abyss_L9_battle_1,abyss_L10_battle_1,Connection,true,
abyss_wilds,abyss_L9_battle_1,abyss_L10_battle_2,Connection,true,
abyss_wilds,abyss_L9_battle_1,abyss_L10_resource_1,Connection,true,
abyss_wilds,abyss_L9_battle_1,abyss_L10_treasure_1,Connection,true,
abyss_wilds,abyss_L9_battle_2,abyss_L10_battle_1,Connection,true,
abyss_wilds,abyss_L9_battle_2,abyss_L10_battle_2,Connection,true,
abyss_wilds,abyss_L9_battle_2,abyss_L10_resource_1,Connection,true,
abyss_wilds,abyss_L9_battle_2,abyss_L10_treasure_1,Connection,true,
abyss_wilds,abyss_L9_resource_1,abyss_L10_battle_1,Connection,true,
abyss_wilds,abyss_L9_resource_1,abyss_L10_battle_2,Connection,true,
abyss_wilds,abyss_L9_treasure_1,abyss_L10_battle_1,Connection,true,
abyss_wilds,abyss_L9_treasure_1,abyss_L10_battle_2,Connection,true,
abyss_wilds,abyss_L10_battle_1,abyss_L11_battle_1,Connection,true,
abyss_wilds,abyss_L10_battle_1,abyss_L11_battle_2,Connection,true,
abyss_wilds,abyss_L10_battle_1,abyss_L11_treasure_1,Connection,true,
abyss_wilds,abyss_L10_battle_2,abyss_L11_battle_1,Connection,true,
abyss_wilds,abyss_L10_battle_2,abyss_L11_battle_2,Connection,true,
abyss_wilds,abyss_L10_battle_2,abyss_L11_treasure_1,Connection,true,
abyss_wilds,abyss_L10_resource_1,abyss_L11_battle_1,Connection,true,
abyss_wilds,abyss_L10_resource_1,abyss_L11_battle_2,Connection,true,
abyss_wilds,abyss_L10_treasure_1,abyss_L11_battle_1,Connection,true,
abyss_wilds,abyss_L10_treasure_1,abyss_L11_battle_2,Connection,true,
abyss_wilds,abyss_L11_battle_1,abyss_L12_battle_1,Connection,true,
abyss_wilds,abyss_L11_battle_1,abyss_L12_battle_2,Connection,true,
abyss_wilds,abyss_L11_battle_1,abyss_L12_treasure_1,Connection,true,
abyss_wilds,abyss_L11_battle_2,abyss_L12_battle_1,Connection,true,
abyss_wilds,abyss_L11_battle_2,abyss_L12_battle_2,Connection,true,
abyss_wilds,abyss_L11_battle_2,abyss_L12_treasure_1,Connection,true,
abyss_wilds,abyss_L11_treasure_1,abyss_L12_battle_1,Connection,true,
abyss_wilds,abyss_L11_treasure_1,abyss_L12_battle_2,Connection,true,
abyss_wilds,abyss_L11_treasure_1,abyss_L12_treasure_1,Connection,true,
abyss_wilds,abyss_L12_battle_1,abyss_L13_battle_1,Connection,true,
abyss_wilds,abyss_L12_battle_1,abyss_L13_treasure_1,Connection,true,
abyss_wilds,abyss_L12_battle_2,abyss_L13_battle_1,Connection,true,
abyss_wilds,abyss_L12_battle_2,abyss_L13_treasure_1,Connection,true,
abyss_wilds,abyss_L12_treasure_1,abyss_L13_battle_1,Connection,true,
abyss_wilds,abyss_L13_battle_1,abyss_L14_battle_1,Connection,true,
abyss_wilds,abyss_L13_battle_1,abyss_L14_treasure_1,Connection,true,
abyss_wilds,abyss_L13_treasure_1,abyss_L14_battle_1,Connection,true,
abyss_wilds,abyss_L13_treasure_1,abyss_L14_treasure_1,Connection,true,
abyss_wilds,abyss_L14_battle_1,abyss_throne,Connection,true,
abyss_wilds,abyss_L14_treasure_1,abyss_throne,Connection,true,
